Zp_raw_m,V_raw_V,Zc_nm,F_nN,D_nm
5.01468e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,370.07912544809767
5.0156042e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,368.88441383430074
5.016528401e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,367.9602128343004
5.017452601e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,367.0360128343005
5.018376802e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,366.111811834301
5.019301002e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,365.4581234480972
5.020225202e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,364.5339234480972
5.021149403e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,363.88023407075883
5.022073603e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,362.6855224480978
5.022997804e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,362.0318330707586
5.023922004e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,360.56660983430055
5.024846204e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,359.9129214480975
5.025770405e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,359.25923207075834
5.026694605e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,358.6055436845554
5.027618805e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,357.14032044809727
5.028543006e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,356.75714268455596
5.029467206e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,355.2919194480979
5.030391407e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,354.3677184480976
5.031315607e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,353.4435184480976
5.032239807e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,352.2488068343007
5.033164008e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,351.8656290707585
5.034088208e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,350.9414290707585
5.035012409e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,349.476204834301
5.035936609e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,349.3635396845561
5.036860809e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,348.1688280707591
5.03778501e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,347.2446270707588
5.03870921e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,345.77940383430075
5.039633411e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,345.39622607075853
5.040557611e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,343.9310028343005
5.041481811e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,343.81833768455556
5.042406012e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,342.0826018343002
5.043330212e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,341.6994250707583
5.044254413e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,341.0457356845559
5.045178613e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,339.58051244809775
5.046102813e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,338.3858008343008
5.047027014e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,338.2731346845556
5.047951214e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,336.5373998343006
5.048875414e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,335.8837114480976
5.049799615e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,335.50053368455536
5.050723815e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,333.76479883430034
5.051648016e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,332.84059783430087
5.052572216e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,332.727932684556
5.053496416e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,331.803732684556
5.054420617e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,330.06799683430063
5.055344817e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,329.41430844809764
5.056269018e-06,-0.03814696338,1.322801797317617,0.2645603594635234,329.8426655259465
5.057193218e-06,-0.03845213916,1.0522901835206246,0.21045803670412494,328.64795391214943
5.058117418e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,326.6417074480974
5.059041619e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,325.71750644809794
5.059965819e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,324.79330644809795
5.06089002e-06,-0.03967284229,-0.029756280531470305,-0.005951256106294061,323.8691054480977
5.06181422e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,322.67439383430076
5.06273842e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,321.7501938343008
5.063662621e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,320.82599283430045
5.064586821e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,319.9017928343005
5.065511022e-06,-0.04028319385,-0.5707795081254552,-0.11415590162509104,318.7070802205032
5.066435222e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,318.0533918343002
5.067359422e-06,-0.04028319385,-0.5707795081254552,-0.11415590162509104,316.85868022050323
5.068283623e-06,-0.03906249072,0.5112669559266398,0.10225339118532799,317.0165256845559
5.069207823e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,315.28079083430083
5.070132023e-06,-0.0393676665,0.24075534212964744,0.04815106842592949,314.89761407075895
5.071056224e-06,-0.03997801807,-0.3002678943284627,-0.06005357886569254,313.4323898343006
